Date,element_id,average,Close,polarity25,polarity24,polarity23,polarity22,polarity21,polarity20,polarity19,polarity18,polarity17,polarity16,polarity15,polarity14,polarity13,polarity12,polarity11,polarity10,polarity9,polarity8,polarity7,polarity6,polarity5,polarity4,polarity3,polarity2,polarity1
8/8/08,1,-0.174801917,1073.869995,0.377964473,-1.060660172,-0.096824584,-0.283473355,-0.322748612,-0.290688837,0.201246118,0.129509685,0,-0.176776695,-0.204124145,0,-0.20612866,-0.072168784,-0.114707867,-0.102062073,-0.170728964,-0.046423835,-0.293987366,-0.267261242,-0.573414639,-0.436033256,-0.221880078,0,-0.138675049
8/11/08,2,-0.038704146,1089.189941,0.144337567,0.544268841,-0.353553391,-0.133630621,-0.204124145,0,0.094491118,-0.25819889,-0.436033256,-0.265165043,-0.069337525,-0.070710678,0,0.376889181,0,0.01767767,-0.111803399,-0.275298881,0,0.014433757,0.244948974,-0.4,0.173205081,0,0
8/12/08,3,-0.032489813,1103.319946,0,0.4,0.141841629,0.057735027,0,-0.100640096,-0.377964473,-0.121267813,0,0,0.377964473,0,-0.184475608,-0.150755672,-0.401477534,-0.220970869,0.180073514,-0.094491118,0.031622777,-0.237170825,0,-0.030618622,-0.007216878,0,-0.074433246
8/13/08,4,-0.058072223,1097.280029,0.375277675,0,-0.553398591,-0.226133508,0,-0.265165043,-0.188982237,0,0.288675135,-0.288675135,0,0.133333333,-0.196116135,-0.404145188,0.375,0.366666667,0.242467158,-0.111803399,0.178885438,0,-0.343913044,-0.142886902,0,-0.200738767,-0.490153037
8/14/08,5,-0.051376294,1063.109985,0.305085108,-0.035355339,-0.166666667,0.718132499,0.070710678,-0.120604538,-0.333333333,-0.121267813,0.025,-0.188982237,-0.360843918,0,0.144337567,0,-0.212132034,-0.166666667,-0.553398591,0,0.441941738,-0.708242291,-0.072168784,-0.34593511,0.195982374,0,0.2
8/15/08,6,-0.105244448,1066.189941,-0.088388348,0,0.265165043,-0.360843918,0.367423461,-0.195982374,0,0.106904497,-0.422115882,-0.3,0,0,0.020851441,0.009268606,0,-0.301511345,0,-0.440981049,-0.069337525,-0.3975,-0.204124145,-0.402492236,-0.220970869,-0.051031036,0.054554473
8/18/08,7,-0.092136432,1056.73999,-0.123743687,0,-0.069337525,-0.126491106,0,0,0,-0.347850543,-0.1,0,0.499230177,-0.212132034,-0.144337567,-0.62461099,0.083333333,0.102062073,-0.121233579,-0.141421356,0.1,0,-0.452267017,0,-0.265165043,0.265165043,-0.62461099
8/19/08,8,-0.097102253,1070.52002,0,0,-0.225,0.353553391,-0.265165043,-0.392792202,-0.188982237,0,0.083333333,-0.072168784,-0.151185789,-0.069337525,-0.226133508,-0.138675049,0,0,0.48507125,-0.225,-0.113431713,0,-0.265165043,-0.204124145,-0.707106781,0.06681531,-0.1720618
8/20/08,9,-0.054583837,1068.130005,0,0.1161895,-0.083333333,0,0.01767767,0,0,-0.258472361,-0.06681531,0,-0.1,-0.227777778,-0.583333333,0.075592895,0,-0.084887469,0,0.110679718,0,0.213200716,0,0.09701425,-0.161306429,-0.211695099,-0.217329572
8/21/08,10,-0.18094958,1078.469971,0,-0.618718434,-0.240535118,0.427617987,-0.3,0,-0.164991582,-0.52462974,-0.247487373,-0.223606798,-0.266666667,-0.77482717,-0.474341649,0.212132034,-0.188982237,0.14955127,-0.16,-0.105528971,-0.15625,-0.618718434,0.060331394,0,0,-0.166666667,-0.141421356
8/22/08,11,-0.015402262,1075.51001,0.111803399,0.083333333,-0.204124145,-0.347011047,0,-0.693375245,0,0.088388348,-0.088388348,0.083333333,0,0,0.141421356,-0.114707867,-0.360555128,0,-0.490990253,0.0625,0.284018779,0.01767767,0,0.347011047,0.144337567,0.406586399,0.143684242
8/25/08,12,-0.12013472,1094.869995,0.303108891,-0.268328157,-0.223606798,-0.40824829,-0.288675135,0.079056942,0,0,-0.123428366,0.158113883,-0.340168026,-0.012909944,0,-0.216666667,0,0,-0.204124145,-0.187638837,-0.40824829,-0.109544512,-0.458831468,0.178305139,-0.136480494,-0.306186218,-0.028867513
8/26/08,13,-0.232734738,1099.51001,-0.530330086,-0.675763514,-0.283473355,-0.377964473,-0.125,-0.188982237,-0.433012702,-0.678400525,-0.485362672,-0.116743446,-0.5,0.144337567,0,0,0,-0.416666667,0.176776695,-0.721687836,-0.223606798,0.249615088,-0.1,0.038729833,0.1375,-0.333333333,-0.375
8/27/08,14,-0.09063929,1106.75,0,-0.088388348,0.204124145,0.178885438,0,0,-0.102062073,0,-0.083333333,0,-0.525475975,-0.377964473,0,-0.479701612,-0.130321509,-0.04472136,0.233853587,-0.283333333,-0.237170825,0.055901699,-0.176776695,0.141421356,-0.018184824,-0.316227766,-0.216506351
8/28/08,15,-0.082498845,1109.170044,-0.56694671,-0.15,0,-0.063245553,0,-0.618718434,-0.037796447,-0.472455591,0,-0.40824829,-0.202072594,0.188982237,-0.158113883,0.133333333,0.302371578,0.158113883,0.133394594,0.090453403,0.158113883,0,-0.5820855,0.244948974,0.2875,-0.5,0
8/29/08,16,-0.075262966,1108.01001,-0.666666667,-0.294174203,0,0.151185789,-0.09486833,0.433333333,0.252982213,-0.283473355,-0.188982237,0.01767767,0,0,0,0,0,-0.500104156,-0.571547607,0,-0.158113883,0.026726124,-0.044194174,-0.070710678,0.229128785,0.120604538,-0.240377308
9/2/08,17,-0.15806974,1094.599976,0.5,0,-0.150755672,-0.083333333,-0.179998397,-0.970725343,-0.122474487,-0.150755672,-0.424264069,-0.229809704,-0.401185789,0,0.10127034,-0.434659144,-0.096824584,-0.208012574,0,-0.125,-0.335410197,0,-0.306186218,0.05,0.051283274,-0.114277297,-0.320624627
9/3/08,18,-0.014274415,1105.23999,0.6,0.407040315,0.111803399,-0.115470054,-0.151185789,-0.25,0.204124145,0.120604538,-0.551135192,0.144337567,0,-0.176776695,-0.230408844,0,-0.188982237,-0.316227766,-0.250950574,-0.1875,0,0.247487373,-0.02773501,-0.039223227,0.052128604,0,0.241209076
9/4/08,19,-0.064671499,1102.939941,0.020412415,-0.075377836,0.38890873,-0.144337567,0.353553391,0.490153037,-0.333333333,-0.516397779,0.104257207,0.081649658,0.306186218,0,0.0125,-0.166666667,0,-0.105847549,-0.516397779,-0.5,-0.376889181,-0.330718914,-0.163806542,-0.223606798,0.011259755,-0.077809311,0.145521375
