Date,Open,High,Low,Close,Adj Close,Volume
2016-03-28,41.000000,41.340000,40.330002,40.910000,39.202126,6402800
2016-03-29,40.900002,41.430000,40.770000,41.349998,39.623764,6794000
2016-03-30,41.750000,42.070000,41.360001,41.380001,39.652512,6076800
2016-03-31,41.500000,41.680000,40.980000,41.009998,39.297958,8138000
2016-04-01,40.130001,40.160000,39.270000,39.520000,37.870159,11244100
2016-04-04,39.810001,40.240002,39.150002,39.369999,37.726421,7831200
2016-04-05,39.130001,39.380001,38.740002,38.930000,37.304790,7648400
2016-04-06,39.070000,39.070000,38.340000,38.900002,37.276047,5650000
2016-04-07,38.660000,39.049999,37.910000,38.360001,36.758587,8206700
2016-04-08,38.700001,38.720001,38.119999,38.500000,36.892742,6087400
2016-04-11,38.790001,39.549999,38.669998,38.730000,37.113148,7932300
2016-04-12,38.820000,39.430000,38.759998,39.189999,37.553940,6426000
2016-04-13,39.299999,40.009998,38.889999,39.939999,38.272629,12493500
2016-04-14,40.340000,41.660000,40.250000,41.169998,39.451279,10133400
2016-04-15,41.299999,41.360001,40.720001,40.910000,39.202126,6982200
2016-04-18,41.180000,41.259998,40.439999,40.919998,39.211716,5245700
2016-04-19,40.990002,41.759998,40.970001,41.340000,39.614185,6650200
2016-04-20,41.360001,41.709999,41.110001,41.259998,39.537510,5018200
2016-04-21,40.799999,40.930000,39.799999,40.009998,38.339710,10782600
2016-04-22,37.680000,38.490002,37.009998,38.209999,36.614849,20939500
2016-04-25,38.160000,38.400002,36.919998,37.000000,35.455364,12670100
2016-04-26,37.270000,37.490002,36.259998,36.919998,35.378708,14692700
2016-04-27,36.790001,37.290001,36.520000,36.709999,35.177475,12305000
2016-04-28,37.040001,37.090000,35.889999,35.970001,34.468365,9836800
2016-04-29,35.810001,35.830002,34.099998,34.689999,33.241791,17807200
2016-05-02,34.990002,35.169998,34.400002,34.430000,33.088032,8829800
2016-05-03,34.759998,34.770000,33.849998,34.580002,33.232189,10674200
2016-05-04,34.169998,34.299999,33.000000,33.209999,31.915586,13412400
2016-05-05,33.279999,33.520000,32.730000,32.810001,31.531174,11606100
2016-05-06,32.669998,33.150002,32.189999,33.029999,31.742601,12749100
2016-05-09,33.029999,33.799999,32.939999,32.939999,31.656111,9312500
2016-05-10,33.240002,33.799999,33.090000,33.770000,32.453758,8124400
2016-05-11,33.680000,34.040001,32.849998,32.860001,31.579233,8148600
2016-05-12,33.009998,33.020000,31.290001,31.330000,30.108864,14228200
2016-05-13,31.090000,32.009998,31.080000,31.510000,30.281847,10132500
2016-05-16,31.809999,32.299999,30.990000,32.119999,30.868067,12397800
2016-05-17,32.250000,33.290001,32.020000,32.639999,31.367804,13303400
2016-05-18,32.610001,33.360001,32.340000,32.610001,31.338974,9136300
2016-05-19,32.279999,32.590000,31.690001,32.150002,30.896898,8875400
2016-05-20,32.299999,32.810001,31.950001,32.009998,30.762354,7278000
2016-05-23,32.029999,32.290001,31.700001,31.730000,30.493271,6498400
2016-05-24,31.889999,32.279999,31.850000,32.150002,30.896898,6962700
2016-05-25,32.389999,32.900002,32.099998,32.169998,30.916122,7401800
2016-05-26,32.130001,32.340000,31.370001,31.510000,30.281847,7222800
2016-05-27,31.600000,31.840000,31.410000,31.650000,30.416388,8573700
2016-05-31,31.750000,31.969999,31.330000,31.910000,30.666256,9618700
2016-06-01,31.940001,32.259998,31.730000,31.950001,30.704693,6415500
2016-06-02,31.670000,32.070000,31.580000,31.670000,30.435608,6813300
2016-06-03,31.590000,31.600000,30.370001,30.809999,29.609127,12424100
2016-06-06,30.770000,31.299999,30.379999,31.260000,30.041590,8335400
2016-06-07,31.459999,32.869999,31.100000,32.360001,31.098719,12424200
2016-06-08,32.630001,32.970001,32.220001,32.509998,31.242867,8173100
2016-06-09,32.250000,33.580002,32.250000,33.400002,32.098186,8188300
2016-06-10,32.799999,33.480000,32.639999,33.139999,31.848307,8252300
2016-06-13,32.990002,32.990002,31.639999,31.799999,30.560539,9225600
2016-06-14,31.809999,31.969999,30.020000,30.360001,29.176666,13802900
2016-06-15,30.650000,31.100000,30.450001,30.490000,29.301603,8152300
2016-06-16,29.799999,29.799999,29.020000,29.139999,28.004217,18236700
2016-06-17,29.100000,29.549999,28.850000,29.340000,28.196426,15301900
2016-06-20,29.750000,30.389999,29.639999,29.709999,28.552002,8359300
2016-06-21,30.290001,30.389999,29.690001,30.020000,28.849916,8922900
2016-06-22,30.049999,30.330000,29.820000,29.889999,28.724991,6675900
2016-06-23,30.250000,30.490000,29.770000,30.330000,29.147839,9139900
2016-06-24,28.200001,28.500000,27.040001,27.049999,25.995686,36049900
2016-06-27,26.850000,26.850000,24.850000,25.270000,24.285061,23170100
2016-06-28,26.120001,26.879999,25.760000,26.770000,25.726597,20026100
2016-06-29,26.940001,28.070000,26.940001,27.700001,26.620348,15008800
2016-06-30,27.860001,28.309999,27.490000,28.309999,27.206568,11148300
2016-07-01,28.260000,29.520000,28.200001,29.330000,28.186813,13250000
2016-07-05,29.090000,29.160000,28.190001,28.930000,27.802406,9467000
2016-07-06,27.760000,28.400000,27.120001,28.350000,27.245014,18757500
2016-07-07,28.389999,29.469999,28.309999,29.400000,28.254086,11779800
2016-07-08,29.799999,30.280001,29.700001,30.040001,28.869146,13659300
2016-07-11,30.230000,31.440001,30.219999,31.160000,29.945486,12374400
2016-07-12,32.779999,34.889999,32.750000,34.660000,33.309063,25515700
2016-07-13,35.000000,35.290001,34.119999,34.450001,33.107258,15215100
2016-07-14,35.110001,36.189999,35.000000,35.880001,34.481514,16884400
2016-07-15,35.509998,36.060001,35.320000,35.889999,34.491123,9817100
2016-07-18,36.029999,36.340000,35.759998,36.029999,34.625668,8606800
2016-07-19,35.779999,36.080002,35.330002,36.009998,34.606449,7956300
2016-07-20,36.070000,36.730000,35.389999,35.919998,34.519951,13098400
2016-07-21,35.099998,35.560001,34.439999,34.959999,33.597370,16429900
2016-07-22,36.450001,36.560001,35.599998,36.360001,34.942806,14704700
2016-07-25,36.349998,36.400002,35.520000,35.799999,34.404636,9526700
2016-07-26,35.910000,36.680000,35.650002,36.549999,35.125408,8871200
