element_id,Date,polarity1,polarity2,polarity3,polarity5
1,8/8/08,-0.138675049,0,-0.221880078,-0.573414639
2,8/11/08,0,0,0.173205081,0.244948974
3,8/12/08,-0.074433246,0,-0.007216878,0
4,8/13/08,-0.490153037,-0.200738767,0,-0.343913044
5,8/14/08,0.2,0,0.195982374,-0.072168784
6,8/15/08,0.054554473,-0.051031036,-0.220970869,-0.204124145
7,8/18/08,-0.62461099,0.265165043,-0.265165043,-0.452267017
8,8/19/08,-0.1720618,0.06681531,-0.707106781,-0.265165043
9,8/20/08,-0.217329572,-0.211695099,-0.161306429,0
10,8/21/08,-0.141421356,-0.166666667,0,0.060331394
11,8/22/08,0.143684242,0.406586399,0.144337567,0
12,8/25/08,-0.028867513,-0.306186218,-0.136480494,-0.458831468
13,8/26/08,-0.375,-0.333333333,0.1375,-0.1
14,8/27/08,-0.216506351,-0.316227766,-0.018184824,-0.176776695
15,8/28/08,0,-0.5,0.2875,-0.5820855
16,8/29/08,-0.240377308,0.120604538,0.229128785,-0.044194174
17,9/2/08,-0.320624627,-0.114277297,0.051283274,-0.306186218
18,9/3/08,0.241209076,0,0.052128604,-0.02773501
19,9/4/08,0.145521375,-0.077809311,0.011259755,-0.163806542
20,9/5/08,-0.475844304,0,-0.377629669,0
21,9/8/08,-0.181901719,-0.083333333,-0.075377836,0.334076552
22,9/9/08,-0.110658802,0.045226702,-0.265165043,0.442718872
23,9/10/08,-0.158113883,-0.428660705,0,0.244948974
24,9/11/08,-0.104257207,-0.025080608,-0.226778684,-0.138675049
25,9/12/08,0,0,-0.06681531,-0.158113883
26,9/15/08,-0.395284708,-0.134322813,-0.230940108,-0.113389342
27,9/16/08,0.135534369,0.188982237,-0.008838835,-0.176776695
28,9/17/08,0,-0.176776695,-0.300520382,-0.141421356
29,9/18/08,-0.714434508,0,-0.194454365,-0.226133508
30,9/19/08,-0.158113883,-0.376889181,-0.115470054,-0.150755672
31,9/22/08,0,-0.391311896,0.166666667,-0.1940285
32,9/23/08,-0.156892908,-0.226778684,-0.618718434,0.353553391
33,9/24/08,-0.176776695,-0.283333333,-0.033333333,-0.574736966
34,9/25/08,0,0,0.107310205,-0.088388348
35,9/26/08,-0.102590657,0.176776695,-0.088388348,0.302371578
36,9/29/08,-0.40824829,-0.15,-0.10625,-0.368365962
37,9/30/08,0.302371578,0.424437344,-0.230940108,-0.612372436
38,10/1/08,-0.088719555,0.360843918,0,-0.323591623
39,10/2/08,-0.241209076,0.226778684,-0.072168784,-0.384900179
40,10/3/08,0,-0.351781182,-0.166410059,-0.129099445
41,10/6/08,0.073596937,-0.268328157,-0.459619408,-0.577350269
42,10/7/08,0.088388348,-0.141736677,-0.049029034,-0.17354806
43,10/8/08,-0.375,0.176410571,0.008528029,0
44,10/9/08,0.021821789,0.038490018,-0.482781256,0.305085108
45,10/10/08,-0.100503782,-0.1375,-0.126102381,-0.044194174
46,10/13/08,0,0.472455591,-0.079056942,0
47,10/14/08,-0.25,0,0,-0.276699295
48,10/15/08,0.104257207,0.275,-0.285773803,-0.306186218
49,10/16/08,0.141421356,0.09,0,0.088388348
50,10/17/08,0,0.196116135,-0.075377836,-0.125
